,Latitude,Longitude,Temperature,Wind Speed,Direction Code,Bird Density,Arrival_min,Dep_first_min,Dep_last_min,MapLoc_enc,DayOfYear
Latitude,1.0,0.05995950136206616,-1.9556280996464877e-13,1.918882151815231e-14,-8.03757237653636e-14,0.021282442604623197,-0.002585015988260585,-0.08573980988901969,-0.07376854675530756,-0.07875399292862391,-1.9116741181585222e-13
Longitude,0.05995950136206616,1.0,3.5350374563784656e-12,-4.975380251943312e-13,1.4250581822561087e-12,-0.10163613921293625,-0.01372086795399859,-0.004331321822293395,-0.015596206038353813,0.5752182219381214,5.032278933437471e-12
Temperature,-1.9556280996464877e-13,3.5350374563784656e-12,1.0,-0.0507392405258495,0.4013716127545941,-0.43261432108927955,0.013912232379394353,-0.7092773644423727,-0.7976051340731592,1.043286578279264e-15,0.7550091858883842
Wind Speed,1.918882151815231e-14,-4.975380251943312e-13,-0.0507392405258495,1.0,-0.2993947021704346,0.0891542925213028,0.07846515181157998,0.010490731116950546,0.03116454362407395,-1.159914569258325e-15,-0.022969377235461972
Direction Code,-8.03757237653636e-14,1.4250581822561087e-12,0.4013716127545941,-0.2993947021704346,1.0,-0.19933271843212896,-0.0598609106475018,-0.3367274540630161,-0.3719147766289731,2.5661294914262477e-15,0.3339637465680007
Bird Density,0.021282442604623197,-0.10163613921293625,-0.43261432108927955,0.0891542925213028,-0.19933271843212896,1.0,0.06355819053653758,0.3479721404305392,0.38935588803531057,-0.10867072432785449,-0.38109710873872893
Arrival_min,-0.002585015988260585,-0.01372086795399859,0.013912232379394353,0.07846515181157998,-0.0598609106475018,0.06355819053653758,1.0,0.010231035387420357,0.017114451380385108,0.010242131563503403,-0.037697829429098995
Dep_first_min,-0.08573980988901969,-0.004331321822293395,-0.7092773644423727,0.010490731116950546,-0.3367274540630161,0.3479721404305392,0.010231035387420357,1.0,0.9805321816710229,0.14158563590765375,-0.8300761361642776
Dep_last_min,-0.07376854675530756,-0.015596206038353813,-0.7976051340731592,0.03116454362407395,-0.3719147766289731,0.38935588803531057,0.017114451380385108,0.9805321816710229,1.0,0.10362744996310487,-0.8460571155924492
MapLoc_enc,-0.07875399292862391,0.5752182219381214,1.043286578279264e-15,-1.159914569258325e-15,2.5661294914262477e-15,-0.10867072432785449,0.010242131563503403,0.14158563590765375,0.10362744996310487,1.0,-7.44638921944564e-16
DayOfYear,-1.9116741181585222e-13,5.032278933437471e-12,0.7550091858883842,-0.022969377235461972,0.3339637465680007,-0.38109710873872893,-0.037697829429098995,-0.8300761361642776,-0.8460571155924492,-7.44638921944564e-16,1.0
